"UserId","ProductId","Rating"
"A38FVHZTNQ271F","7806397051",3
"A3BTN14HIZET6Z","7806397051",5
"A3G6XNM240RMWA","7806397051",4
"A60XNB876KYML","7806397051",3
"A18M9192WX98HP","9746427962",5
"A1KEESMVTONAGJ","9746427962",5
"A21IM16PQWKVO5","9759091062",5
"A30IP88QK3YUIO","9759091062",3
"A3LMILRM9OC3SA","9759091062",2
"AP5WTCMP6DTRV","9759091062",1
"APBQH4BS48CQO","9759091062",3
"A9MYCYZT8EMMX","9788071198",5
"AA394CGT3GNYH","9788071198",2
"A1QV5IH6HDRN0L","9788072216",5
"A2EK2CJNJUF7OQ","9788072216",5
"A2GWNGQF9SHRE4","9788072216",5
"A3UQXHI88S7XAX","9788072216",5
"ABV67T136UXFQ","9788072216",5
"A28GT8K15D0LIS","9790778309",5
"A2XKJ1KX6XUHYP","9790778309",1
"A32ZIX6JXPJX3O","9790781687",4
"A2FQZKL2KIZACO","9790790961",5
"A2H0VDRANZMGGX","9790790961",5
"A2MZDI3I5AEL74","9790790961",3
"A312RDWQYLAG7S","9790790961",3
"A3TYR1ALBZ2EU9","9790790961",5
"AUYVMLI0CBMYS","9790790961",5
"A237SSH93EWQ45","9790799829",1
"A1ACH77RG6C8MN","B00004TMFE",2
"A2EVBQAN92IEZS","B00004TMFE",1
"A2VOGNBUMXSW13","B00004TMFE",2
"A2X0X13NTPOZN1","B00004TMFE",4
"A2ZQE4X9GYJMRI","B00004TMFE",5
"A34M18U6T33YDZ","B00004TMFE",5
"A38VDDNZ7A3QM0","B00004TMFE",5
"A66XG9X8S7IH","B00004TMFE",4
"A8TWSBLUYJR0U","B00004TMFE",5
"AIBDCIWC061A","B00004TMFE",4
"AQX8T9SFFK43U","B00004TMFE",4
"AUJZEJ5KJU6OQ","B00004TMFE",1
"AVM6OR01CPJNQ","B00004TMFE",2
"AY8MX1BFYICXC","B00004TMFE",5
"A1D94IJBAPKVYV","B00004TUBL",5
"A1NEIH01B5X6QL","B00004TUBL",5
"A1REYI6T6VJHKK","B00004TUBL",5
"A1YZ8KOTNU1BEU","B00004TUBL",5
"A265CA7CZPYQ65","B00004TUBL",5
"A26869WFGMMZHM","B00004TUBL",5
"A2AMFW65LLALFI","B00004TUBL",5
"A2HRHF83I3NDGT","B00004TUBL",5
"A2RQOO8VYAEZZG","B00004TUBL",3
"A3B7900K4X1AY5","B00004TUBL",5
"AMB2Z4FMDBWQY","B00004TUBL",2
"A2P99LRDXBF8NF","B00004TUBV",4
"A3VOND2IXC3VET","B00004TUBV",4
"AMYBVJ1JP667H","B00004TUBV",5
"AY1EF0GOH80EK","B00004TUBV",5
"A14VNXS7M0JO5K","B00004U9UY",4
"A1J7CRZ4OJ1T2L","B00004U9UY",5
"A287547UH1VBJ7","B00004U9UY",4
"A2K3A3HA229ZVN","B00004U9UY",5
"A3AZI828WJN1CD","B00004U9UY",4
"A3S3R88HA0HZG3","B00004U9UY",5
"A3VU2J7G0U35AU","B00004U9UY",5
"ACUGBCEADYT6D","B00004U9UY",3
"AD526SECC3I9D","B00004U9UY",5
"ASXPNU896V9I8","B00004U9UY",5
"AWCX1MPM94R1A","B00004U9UY",5
"A1LR48HRU3LSHF","B00004U9V2",5
"A24YA4ZYCDUIKP","B00004U9V2",5
